transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
366079,40399,40612,2.4574e+06,19480,3,0,-3788.31,-64.7513,-6142.35,6.00749,2.25875,-3.73634,7206.57,0.00166757,1.72379,1.56942,0.269749,2.60972,3502.66,1940.42,-6007.08,6.18574,1.09551,3.956,7206.35,0.00187808,1.72375,2.42514,0.272518,2.85723,7245.05,0.00436778,1.72461,4.65726,0.271159,5.80529,0.023919,0.0176688,0.00995838,-0.0269773,0.00432894,0.00373695,0.0589372
359274,40397,40415,2.4574e+06,19480,3,0,-2096.31,-1658.5,6691.63,-6.83216,-1.51048,-2.51658,7202.67,0.000488701,1.72377,4.56496,0.273065,3.63829,-6963.01,-1870.41,-271.32,-0.0390122,1.16237,-7.34466,7221.51,0.00191175,1.72361,2.10185,0.268222,1.0778,7204.4,0.00149015,1.72549,0.219163,0.268294,1.70018,-0.0143697,0.0324132,0.0172334,-0.00652046,-0.0146592,-0.0112375,0.05901
379083,40409,40416,2.4574e+06,13020,2,0,2816.66,-301.18,6629.77,-6.57449,-2.1963,2.68566,7206.04,0.00107632,1.72377,3.24184,0.262637,4.23696,-3531.02,-1906.82,5992.15,-6.19573,-1.03279,-3.97562,7210.3,0.000493763,1.72374,0.139969,0.262896,2.00306,7175.52,0.00552494,1.72382,4.87119,0.262772,2.60763,0.02527,0.0025077,0.0199085,-0.0245039,-0.00879711,0.00668336,0.0591471
149663,27842,27846,2.4574e+06,13020,2,0,0.692888,-1166.96,7090,-6.92713,-2.70088,-0.436808,7185,0.000936707,1.72246,0.000104759,0.380748,1.63099,-4819.51,-2702.73,4608.57,-4.80341,-1.01603,-5.59408,7195.35,0.00215444,1.72235,0.871441,0.38336,1.56529,7233.53,0.00671669,1.72231,1.76964,0.383402,6.14505,-0.0159612,-0.0248134,-0.0180987,0.0223449,0.0086606,0.00531766,0.05916
149668,27842,27846,2.4574e+06,13020,2,0,-5292.23,-1345.63,-4708.58,4.23989,2.60587,-5.51336,7195.05,0.00214492,1.72236,0.853206,0.38107,3.01001,-728.519,879.063,-7117.57,6.85655,2.82515,-0.347172,7185.01,0.00336411,1.72246,1.29587,0.383685,3.36843,7233.54,0.00362878,1.72234,4.35172,0.381053,5.79468,0.0221985,0.00953181,-0.00510778,-0.0288615,0.00657013,0.0178524,0.0592592
156235,27846,27842,2.4574e+06,25940,4,0,4887.85,2702,-4546.41,4.72386,0.957131,5.66329,7195.54,0.00157865,1.72235,1.43205,0.380341,4.15841,3533.93,404.327,6242.14,-5.8682,-2.95938,3.51035,7189.02,0.00075809,1.72242,1.65327,0.385384,5.70352,7182.32,0.00280054,1.72053,2.75297,0.381867,2.83773,0.00020017,0.0213195,-0.0128302,0.0168313,-0.0274131,0.012558,0.0594155
16632,20439,20440,2.4574e+06,6560,1,0,4078.78,-3744.42,-4545.61,2.45109,-4.1997,5.65383,7159.91,0.000688534,1.7202,3.11311,5.41661,2.47339,4701.56,-5225.76,-1388.77,0.117235,-1.81775,7.23267,7165.36,0.000108916,1.7198,4.56151,5.41537,1.52441,7201.06,0.00524954,1.72225,5.75231,5.41488,6.11712,-0.0135517,-0.0197236,0.0192787,0.00593953,0.0251604,-0.0127827,0.0595697
379085,40409,40416,2.4574e+06,25940,4,0,2816.66,-301.18,6629.77,-6.57449,-2.1963,2.68566,7206.04,0.00107632,1.72377,3.24184,0.262637,4.23696,-6641.34,-2105.04,1877.51,-2.18104,0.538469,-7.08821,7221.71,0.00117821,1.72362,2.11946,0.265424,0.755718,7197.35,0.00321928,1.72473,5.34901,0.265116,2.13017,0.0197528,-0.0184682,0.0205909,-0.0206431,-0.0133316,-0.00788696,0.059797
359269,40397,40415,2.4574e+06,19480,3,0,6545.41,2172.83,-2143.45,2.43665,-0.438514,7.00164,7216.85,0.000751562,1.72362,2.54639,0.272628,3.43179,4281.64,248.356,5793.98,-5.66598,-2.23601,4.26616,7209.7,0.00181457,1.72373,2.44012,0.267708,4.79277,7205.15,0.0023586,1.72655,2.72946,0.271694,3.24859,0.00382029,-0.0214146,-0.009115,-0.00906265,0.0337021,0.00987443,0.0598546
366085,40399,40612,2.4574e+06,25940,4,0,6947.12,1792.41,826.168,-0.536527,-1.31415,7.29101,7219.59,0.00115394,1.72365,1.98449,0.270242,4.4147,138.114,-1102.17,7122.5,-7.1599,-1.98597,-0.172375,7201.14,0.00115664,1.72381,4.27177,0.27415,3.60516,7237.43,0.00434917,1.72389,1.17922,0.27027,5.21997,-0.0194141,-0.00831552,0.0063716,0.0252247,-0.0196454,-0.0205626,0.060074
16637,20439,20440,2.4574e+06,6560,1,0,-726.341,-792.115,7079.53,-4.84337,5.66575,0.136096,7149.31,0.00158827,1.72031,4.61733,5.41694,3.21807,-2862.08,1916.55,6275.36,-3.88598,5.37416,-3.41283,7151.87,0.00093815,1.71994,5.29507,5.41584,3.04006,7201.38,0.006016,1.72028,1.90057,5.41519,5.93456,-0.00627799,0.0303949,-0.0117917,0.0116457,-0.0235857,0.00563032,0.060101
366083,40399,40612,2.4574e+06,13020,2,0,6947.12,1792.41,826.168,-0.536527,-1.31415,7.29101,7219.59,0.00115394,1.72365,1.98449,0.270242,4.4147,4800.65,478.235,5362.97,-5.19104,-2.21809,4.83256,7208.9,0.0013668,1.72372,2.92335,0.271478,4.21128,7258.33,0.00619005,1.72254,0.749797,0.270111,5.64937,-0.0218486,-0.00027434,0.0184922,0.0121674,-0.00610743,-0.0285848,0.0602865
379090,40409,40416,2.4574e+06,25940,4,0,-6775.05,-1508.8,-1980.34,1.70349,1.58472,-7.05878,7220.15,0.000918316,1.72362,2.18154,0.263081,1.24134,2348.32,1696.76,-6616.57,6.74865,1.39823,2.75077,7207.59,0.00217817,1.72377,2.12581,0.265871,2.97142,7197.41,0.00483933,1.72475,1.2157,0.263413,2.20724,-0.026096,0.00115092,0.0063683,0.00859255,0.025878,-0.019806,0.0605878
366098,40399,40612,2.4574e+06,13020,2,0,6225.16,1179.59,3458.06,-3.21424,-1.92113,6.41718,7215.64,0.001612,1.72369,2.29922,0.271471,4.49002,2515.13,-376.647,6747.11,-6.67991,-2.24632,2.35708,7202.99,0.00141481,1.72379,3.64291,0.272805,3.8834,7257.99,0.0066082,1.72326,1.10157,0.271228,5.68764,-0.0239192,-0.00463628,0.01169,0.0236788,-0.00244593,-0.0239337,0.06078
156248,27846,27842,2.4574e+06,13020,2,0,6310.49,2854.06,-1957.3,2.29273,-0.244345,7.07816,7201.52,0.00166684,1.72229,0.921263,0.381585,5.08322,5359.5,1412.52,4574.67,-4.13275,-2.59784,5.63067,7195.45,0.00167133,1.72235,1.44314,0.384089,5.53968,7165.51,0.00445449,1.72014,2.99479,0.382207,3.00979,0.00206721,0.0221338,-0.0196148,0.0115892,-0.0219081,0.0190385,0.0608995
